control1	control2	control3	tumour1	tumour2	tumour3
ABHD4	10.7707196954905	10.6969486597295	10.4317284462204	10.8025940179288	10.5731900992029	10.3644715118664
ABHD5	8.75251747003271	8.66944207678459	8.69389978270703	8.58361153873913	8.68345270514542	8.86355396087917
ABHD6	9.45640507342578	9.51850911767385	9.62106954291602	9.53973044858998	9.66371553859149	9.491257211339
ABHD8	5.65764533465842	5.47036049993141	5.40161328647527	6.46291537767329	5.12149483302373	5.26288101631388
ABI1	11.1024676731166	11.0295498057983	11.1874740984736	10.9969466719398	11.1314408552706	11.2628816785759
ABI1P1	0	0	0	0	0	0
ABI2	10.6631652513023	11.109968550621	10.9592437998293	11.0293543491248	10.7901381578794	10.9429999886478
ABI3	0	0	1.00476877830381	0	0	0
ABI3BP	2.74970430691748	4.41797204128686	3.86243410072957	3.92297100440214	3.10939503215431	2.95976510649192
ABITRAM	8.26131496778195	8.28900518110587	8.5771903350307	8.78093334104521	8.37062181608049	8.85446722119018
ABITRAMP1	0	0	0	0	0	0
ABL1	11.3540728008824	11.4459142961022	11.2008196614372	11.6023222128768	11.2769446081004	11.0215671090443
ABL2	13.096531760322	13.2539592861965	13.0945701227508	12.854973511249	12.8012749320765	12.9936919370745
ABLIM1	8.39887267291346	7.78081632770689	8.22188537729815	7.22820866089693	6.9830762118354	7.41034517794199
ABLIM2	1.49188512251649	1.50886259486534	0.907586891433883	2.66792687643524	1.7755192273766	1.42366581521772
ABLIM3	9.028019909914	8.68950514214156	8.71250257586019	8.7342770536151	8.80180405104135	8.64314965802301
ABO	3.67867753288175	3.15919970013877	2.9759663616262	2.76650356014085	3.47969211318551	3.57745075142168
ABR	12.0296390802139	12.0076010596407	11.9963901234278	11.8936865792882	11.8390618538364	11.9332978132804
ABRA	1.57492859013107	0	1.00476877830381	0.993532377825115	1.5796221976596	0
ABRACL	10.2917932289368	10.3063033566322	10.3426016197781	10.0480326676949	10.2475905295526	10.2633068065049
ABRAXAS1	8.20919026256577	8.52589542012523	8.50682072863342	8.52897043153636	8.6449297106503	8.66267998470854
ABRAXAS1P1	0	0	0	0	0	0
ABRAXAS1P2	1.57492859013107	3.33199583996288	3.00833504595376	1.9902876612261	3.31471400580654	3.18358239094343
ABRAXAS2	9.51827302848003	9.62771671297172	9.60196658932699	9.41331931365039	9.57695508386402	9.65196094017893
ABT1	8.51244092181811	8.35099768221481	8.18939820930348	8.45874752844605	8.43494871386842	8.06514641857128
ABT1P1	0	0	0	0	0	0
ABTB1	7.55890143275059	7.033501292222	6.97693639824322	7.64088044434441	7.23253645075181	6.49011559436486
ABTB2	9.28415491825879	9.30578507064524	9.02352395884164	9.35992033279494	9.00880592339962	8.74663859987311
ABTB3	2.81850798424732	1.43957600965211	1.32999726661423	1.37144391952612	0.883532036492199	1.33351330379627
ACAA1	10.4076137729558	10.3546002122428	10.1952765815089	10.6550012635734	10.3310684147702	10.1236681628314
ACAA2	10.7315954915845	10.6977433898499	10.765227774832	10.6780438598587	10.9123232503258	10.8559110792368
ACAA2P1	1.84947302171353	1.86967086740653	1.86512242137278	1.32606908006641	1.3290446739856	0.822552408223335
ACACA	11.8422046597313	11.7393976992853	12.1723091436305	11.8033227739016	11.7701884198278	11.7314192329442
