control1	control2	control3	tumour1	tumour2	tumour3
ABCB11	1.20150530272404	4.34278530240819	1.37795444760442	6.00777252515137	3.01849703104447	0.613559721189505
ABCB4	151.490025608453	247.967782880729	196.483219343123	174.221235108316	166.659500635462	231.200844328729
ABCB5	9091.08734719479	9366.10554989547	9649.7547855845	8009.90445570354	9049.31590889532	10268.8909107718
ABCB6	1159.75809168586	1086.64625521106	1165.02760225476	1174.03662573604	1274.445476339	1173.78603582639
ABCB7	613.779013723678	557.209544146397	619.905636045189	550.210780915775	655.251250301471	585.696861091016
ABCB8	672.673357303116	566.736934827969	554.037769012586	821.253798249199	512.810828617345	485.053660811674
ABCB9	632.129715334033	523.097753666081	421.474780173266	492.863358835349	372.631868763524	212.345942330775
ABCC1	1824.70652931704	1998.25659724601	1729.41376163622	1851.5766769413	1905.80755711774	1974.56115912051
ABCC10	418.118719512274	449.570893399346	451.004175393189	410.523080066605	363.768983942681	418.275843930853
ABCC11	29.349681055095	31.9681874091091	13.9418067152017	19.5482075600309	15.9106407119951	18.8505267822427
ABCC12	0	0	0	0	0	1.01070047218716
ABCC13	0	0	0	0	0	0
ABCC2	1216.55784924116	1508.15794025405	1146.75745593931	1129.94604196353	1143.73502581753	1050.05381465993
ABCC3	20.5503844409238	24.3970245161479	29.7807742592776	36.8837919267568	72.596254081386	21.8126972158821
ABCC4	600.150638696742	594.106920482886	682.152297661743	754.697777526985	666.68082026685	664.391446058794
ABCC5	1649.93901772426	1321.76803231908	1279.52205489166	1260.14924300664	1417.93838027754	1284.40497871718
ABCC6	9.04005921726649	12.2472016335634	14.9100208616772	11.0728987945608	27.5634463066543	13.5046415948401
ABCC6P1	0.72285151878494	0.736128970167819	0.735282340634995	10.1717107975785	0	0
ABCC6P2	1.88782301595213	2.1055630630295	3.05572767337105	2.16081858567086	0.948541490132729	2.89210249691282
ABCC8	14.6162383801693	16.2875035868574	8.28651605448669	20.6797081098101	15.5759617989926	10.8353401328973
ABCC9	46.8221957392289	44.7291457622959	36.698928186983	48.6825450794512	39.9951272340888	64.0849098095204
ABCD1	953.500079549824	881.786437010837	625.939684005543	1161.72707730841	681.052348239911	445.020517135725
ABCD1P2	0	0	0	0	0.994457839787016	0
ABCD1P3	0	0	0	0	0	0
ABCD1P4	0	0	0	0	0	0
ABCD1P5	0	0	0	0	0	0
ABCD2	9.89603729563844	12.0933711345187	5.033109343105	14.865810588984	10.9390362376572	10.1070047218716
ABCD3	2313.95171550134	2577.75188803781	2551.97032188874	2560.02005408942	2743.53564939576	2951.96792790342
ABCD4	693.035821771178	700.317826670572	532.969391605694	700.796419758839	656.663007207347	680.334508107693
ABCE1	3301.07515392008	3060.03507720923	3696.98678349506	2828.54568704851	3122.61813129488	3628.73220117101
ABCF1	2075.63769174723	2445.21793694518	2406.22479475997	2200.10021827727	2394.66022225758	2418.74649729605
ABCF2	1238.31963830326	1233.15360298527	1199.57914771503	1480.69000278248	1191.90160060528	1410.39444568142
ABCF2-H2BK1	627.408764543477	672.189878893663	701.615442428836	622.381936658797	747.832295519836	704.458229114453
ABCF2P1	0	0	0	0	0	0
ABCF2P2	0	0	0	0	0	0
ABCF3	1099.53293750332	1106.10267157392	989.24400014208	1141.83689927646	1131.81570915819	830.504963454596
ABCG1	23.383109451007	11.9693097107006	14.6026712885169	10.2100991635107	16.2996597375044	10.8990552830943
ABCG2	47.950392340151	57.0040583841507	65.0724102852992	56.0564442533924	56.250326807203	65.3360640567736
ABCG4	13.8493840863256	10.2175475587991	10.4623941976554	13.7502758049792	22.9831281768908	19.6976179970948
